,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,gameid
1078,10,PT11M38.00S,2020-12-23T00:07:26.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201939,,,1610612744,0,1,2020-12-23T00:07:26Z,100000,,,0,,S. Curry Free Throw 1 of 2 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,0022000001
1079,9,PT11M28.00S,2020-12-23T03:08:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,6.783837056504599,52.029718137254896,1610612746,0,2,2020-12-23T03:08:20Z,90000,-10.0,11.0,1,left,P. Beverley driving Layup (2 PTS),[201976],1610612746.0,LAC,driving,,,Beverley,P. Beverley,,,,,,,,1.52,Made,2.0,,,,,,,,,,,,,,,,0022000002
1066,10,PT11M33.00S,2020-12-24T00:41:05.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202684,16.031537450722734,47.43795955882353,1610612738,2,0,2020-12-24T00:41:48Z,100000,13.0,98.0,1,left,T. Thompson 9' floating Jump Shot (2 PTS) (J. Brown 1 AST),"[202684, 1627759]",1610612738.0,BOS,floating,,,Thompson,T. Thompson,,,,,,,,9.9,Made,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,0022000003
1068,9,PT11M49.00S,2020-12-24T03:40:48.4Z,1,REGULAR,freethrow,1 of 2,[],1626164,,,1610612756,1,0,2020-12-24T03:40:48Z,90000,,,0,,D. Booker Free Throw 1 of 2 (1 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,0022000004
1063,7,PT11M43.00S,2020-12-25T17:16:19.6Z,1,REGULAR,3pt,Jump Shot,[],1629130,33.327858081471746,52.029718137254896,1610612748,3,0,2020-12-25T17:16:25Z,70000,-10.0,261.0,1,left,D. Robinson 26' 3PT  (3 PTS) (J. Butler 1 AST),"[1629130, 202710]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,26.1,Made,3.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,0022000005
1065,23,PT10M37.00S,2020-12-25T19:43:18.6Z,1,REGULAR,freethrow,1 of 2,[],1630164,,,1610612744,0,1,2020-12-25T19:43:18Z,230000,,,0,,J. Wiseman Free Throw 1 of 2 (1 PTS),[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,0022000006
1061,27,PT10M00.00S,2020-12-25T22:16:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203925,6.652431011826544,45.166973039215684,1610612751,0,2,2020-12-25T22:19:03Z,270000,24.0,10.0,1,left,J. Harris driving Layup (2 PTS) (S. Dinwiddie 1 AST),"[203925, 203915]",1610612751.0,BKN,driving,,,Harris,J. Harris,,,,,,,,2.62,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,0022000007
1062,7,PT11M42.00S,2020-12-26T01:08:11.4Z,1,REGULAR,3pt,Jump Shot,[],1627827,12.959921156373195,3.990502450980392,1610612742,0,3,2020-12-26T01:08:16Z,70000,230.0,69.0,1,left,D. Finney-Smith 24' 3PT  (3 PTS) (L. Doncic 1 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,24.02,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,0022000008
1064,22,PT10M34.00S,2020-12-26T03:42:27.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201587,6.652431011826544,96.39246323529412,1610612746,0,3,2020-12-26T03:42:37Z,220000,-232.0,10.0,1,left,N. Batum 3PT  (3 PTS) (P. George 1 AST),"[201587, 202331]",1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,23.22,Made,3.0,P. George,202331.0,1.0,,,,,,,,,,,,,0022000009
1075,17,PT11M18.00S,2020-12-24T00:12:19.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1629012,,,1610612739,1,0,2020-12-24T00:12:19Z,170000,,,0,,C. Sexton Free Throw 2 of 2 (1 PTS),[1629012],1610612739.0,CLE,,,,Sexton,C. Sexton,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,0022000010
