,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,gameid
1981,4,PT11M58.00S,2020-12-23T00:06:25.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612751,0,0,2020-12-23T00:06:25Z,40000,,,0,,Jump Ball D. Jordan vs. J. Wiseman: Tip to Team (BKN),"[201599, 1630164]",1610612751.0,BKN,startperiod,Team (BKN),,,,Jordan,201599.0,Wiseman,1630164.0,,,,,,,,,,,,,,,,,,,,,,0022000001
1982,103,PT04M28.00S,2020-12-23T00:21:56.7Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612744,28,13,2020-12-23T00:27:26Z,972500,,,0,,Jump Ball K. Bazemore vs. K. Durant: Tip to K. Oubre Jr.,"[1626162, 203145, 201142]",1610612744.0,GSW,heldball,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Bazemore,203145.0,Durant,201142.0,,,,,,,,,,,,,,,,,,,,,,0022000001
1983,4,PT11M57.00S,2020-12-23T03:07:45.9Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2020-12-23T03:07:46Z,40000,,,0,,Jump Ball A. Davis vs. S. Ibaka: Tip to L. James,"[2544, 203076, 201586]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Ibaka,201586.0,,,,,,,,,,,,,,,,,,,,,,0022000002
1984,480,PT04M28.00S,2020-12-23T04:50:39.7Z,3,REGULAR,jumpball,recovered,[],202083,,,1610612747,75,77,2020-12-23T04:50:39Z,4740000,,,0,,Jump Ball A. Davis vs. I. Zubac: Tip to W. Matthews,"[202083, 203076, 1627826]",1610612747.0,LAL,challenge,W. Matthews,202083.0,Matthews,W. Matthews,Davis,203076.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,0022000002
1963,4,PT11M58.00S,2020-12-24T00:40:34.2Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2020-12-24T00:40:34Z,40000,,,0,,Jump Ball B. Lopez vs. T. Thompson: Tip to G. Antetokounmpo,"[203507, 201572, 202684]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,,0022000003
1964,298,PT01M46.00S,2020-12-24T01:30:16.7Z,2,REGULAR,jumpball,recovered,[],1628369,,,1610612749,56,52,2020-12-24T01:33:50Z,2930000,,,0,,Jump Ball J. Brown vs. J. Holiday: Tip to J. Tatum,"[1628369, 1627759, 201950]",1610612738.0,BOS,heldball,J. Tatum,1628369.0,Tatum,J. Tatum,Brown,1627759.0,Holiday,201950.0,,,,,,,,,,,,,,,,,,,,,,0022000003
1965,566,PT08M36.00S,2020-12-24T02:31:36.3Z,4,REGULAR,jumpball,recovered,[],203507,,,1610612738,107,97,2020-12-24T02:36:52Z,5510000,,,0,,Jump Ball B. Lopez vs. T. Thompson: Tip to G. Antetokounmpo,"[203507, 201572, 202684]",1610612749.0,MIL,doubleviolation,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,,,0022000003
1967,4,PT11M57.00S,2020-12-24T03:40:19.1Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612756,0,0,2020-12-24T03:40:19Z,40000,,,0,,Jump Ball D. Ayton vs. D. Powell: Tip to J. Crowder,"[203109, 1629028, 203939]",1610612756.0,PHX,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Ayton,1629028.0,Powell,203939.0,,,,,,,,,,,,,,,,,,,,,,0022000004
1957,4,PT11M57.00S,2020-12-25T17:16:05.9Z,1,REGULAR,jumpball,recovered,[],203086,,,1610612748,0,0,2020-12-25T17:16:05Z,40000,,,0,,Jump Ball B. Adebayo vs. S. Adams: Tip to M. Leonard,"[203086, 1628389, 203500]",1610612748.0,MIA,startperiod,M. Leonard,203086.0,Leonard,M. Leonard,Adebayo,1628389.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,0022000005
1958,111,PT02M39.00S,2020-12-25T17:36:27.3Z,1,REGULAR,jumpball,recovered,[],1630173,,,1610612740,18,21,2020-12-25T17:36:27Z,1110000,,,0,,Jump Ball D. Robinson vs. S. Adams: Tip to P. Achiuwa,"[1630173, 1629130, 203500]",1610612748.0,MIA,heldball,P. Achiuwa,1630173.0,Achiuwa,P. Achiuwa,Robinson,1629130.0,Adams,203500.0,,,,,,,,,,,,,,,,,,,,,,0022000005
